Index,Folder,Filename,Image Size,BBox,Categorical_Labels,Continuous_Labels,Gender,Age
0,mscoco/images,COCO_val2014_000000562243.jpg,"[640, 640]","[86, 58, 564, 628]","['Disconnection', 'Doubt/Confusion']","[5, 3, 9]",Male,Adult
1,mscoco/images,COCO_train2014_000000288841.jpg,"[640, 480]","[485, 149, 605, 473]",['Anticipation'],"[6, 4, 7]",Male,Adult
2,mscoco/images,COCO_val2014_000000558171.jpg,"[640, 480]","[305, 92, 461, 465]","['Engagement', 'Excitement', 'Happiness']","[7, 8, 8]",Male,Teenager
3,mscoco/images,COCO_train2014_000000369575.jpg,"[480, 640]","[221, 63, 448, 372]","['Aversion', 'Pleasure']","[8, 9, 8]",Male,Kid
4,mscoco/images,COCO_train2014_000000213009.jpg,"[500, 333]","[44, 143, 150, 288]","['Confidence', 'Excitement']","[7, 9, 10]",Male,Adult
5,mscoco/images,COCO_train2014_000000462955.jpg,"[640, 478]","[42, 32, 413, 472]","['Anticipation', 'Engagement', 'Peace']","[3, 6, 8]",Male,Adult
6,mscoco/images,COCO_val2014_000000168683.jpg,"[500, 375]","[257, 39, 405, 183]","['Anticipation', 'Engagement']","[6, 7, 7]",Male,Adult
7,mscoco/images,COCO_train2014_000000186198.jpg,"[640, 429]","[336, 80, 494, 327]","['Anticipation', 'Peace']","[7, 7, 8]",Male,Kid
8,mscoco/images,COCO_train2014_000000006590.jpg,"[640, 480]","[188, 109, 381, 382]",['Engagement'],"[7, 4, 7]",Female,Kid
9,mscoco/images,COCO_train2014_000000144608.jpg,"[350, 500]","[198, 29, 300, 232]","['Fatigue', 'Happiness']","[7, 7, 6]",Male,Teenager
10,emodb_small/images,ebpsbjqzfhd7efh00i.jpg,"[471, 623]","[47, 161, 471, 468]","['Pain', 'Sadness', 'Sensitivity', 'Suffering']","[2, 7, 4]",Female,Kid
11,emodb_small/images,ebpsbjqzfhd7efh00i.jpg,"[471, 623]","[177, 11, 471, 471]","['Sadness', 'Suffering', 'Sympathy']","[2, 3, 4]",Male,Adult
12,emodb_small/images,ebpsbjqzfhd7efh00i.jpg,"[471, 623]","[200, 182, 344, 471]","['Fear', 'Sadness', 'Suffering']","[2, 4, 2]",Female,Kid
13,mscoco/images,COCO_val2014_000000547457.jpg,"[640, 425]","[157, 43, 470, 420]","['Anticipation', 'Engagement', 'Excitement', 'Happiness']","[8, 4, 7]",Female,Adult
14,mscoco/images,COCO_val2014_000000122997.jpg,"[640, 425]","[246, 63, 458, 380]",['Engagement'],"[5, 3, 8]",Female,Adult
15,mscoco/images,COCO_val2014_000000122997.jpg,"[640, 425]","[141, 47, 348, 343]","['Disconnection', 'Engagement', 'Peace']","[6, 4, 7]",Male,Adult
16,framesdb/images,frame_k245twaqc30i5imc.jpg,"[500, 334]","[34, 26, 499, 304]",['Engagement'],"[7, 4, 2]",Female,Adult
17,framesdb/images,frame_dkwhvgj0m40g01gs.jpg,"[634, 641]","[148, 8, 471, 616]",['Happiness'],"[5, 4, 9]",Male,Adult
18,mscoco/images,COCO_train2014_000000179164.jpg,"[640, 480]","[28, 240, 201, 472]",['Yearning'],"[2, 3, 3]",Male,Adult
19,mscoco/images,COCO_val2014_000000121006.jpg,"[640, 455]","[182, 83, 386, 445]","['Confidence', 'Happiness']","[8, 6, 6]",Male,Teenager
20,framesdb/images,frame_fjgek3oeqc8r0e3o.jpg,"[749, 499]","[497, 89, 625, 436]",['Engagement'],"[6, 7, 6]",Male,Adult
21,mscoco/images,COCO_train2014_000000140322.jpg,"[640, 512]","[158, 16, 378, 304]",['Happiness'],"[6, 7, 3]",Female,Kid
22,mscoco/images,COCO_train2014_000000140322.jpg,"[640, 512]","[83, 146, 608, 511]","['Anticipation', 'Engagement', 'Happiness']","[6, 4, 3]",Male,Kid
23,mscoco/images,COCO_train2014_000000497759.jpg,"[500, 500]","[6, 71, 350, 488]",['Disquietment'],"[5, 7, 7]",Male,Adult
24,mscoco/images,COCO_train2014_000000001966.jpg,"[640, 480]","[126, 70, 344, 439]","['Anticipation', 'Confidence', 'Engagement']","[5, 9, 7]",Male,Adult
25,mscoco/images,COCO_train2014_000000326320.jpg,"[640, 427]","[381, 92, 493, 388]",['Yearning'],"[6, 4, 7]",Male,Adult
26,framesdb/images,frame_kuxvwgw2wheq7szc.jpg,"[570, 378]","[209, 117, 318, 335]","['Anticipation', 'Disquietment', 'Engagement']","[2, 7, 7]",Male,Kid
27,framesdb/images,frame_95x221h7yj814qxc.jpg,"[2592, 1944]","[2035, 654, 2176, 921]",['Engagement'],"[7, 4, 7]",Male,Adult
28,mscoco/images,COCO_train2014_000000253959.jpg,"[588, 640]","[73, 276, 276, 493]","['Happiness', 'Peace']","[7, 8, 2]",Female,Teenager
29,mscoco/images,COCO_train2014_000000022683.jpg,"[640, 427]","[93, 44, 370, 370]",['Disconnection'],"[6, 7, 7]",Male,Adult
30,mscoco/images,COCO_train2014_000000094268.jpg,"[640, 427]","[371, 41, 468, 349]",['Engagement'],"[6, 6, 2]",Male,Adult
31,mscoco/images,COCO_train2014_000000094268.jpg,"[640, 427]","[78, 63, 279, 401]","['Confidence', 'Engagement', 'Happiness']","[5, 7, 6]",Male,Adult
32,mscoco/images,COCO_val2014_000000231589.jpg,"[640, 425]","[297, 70, 440, 375]","['Engagement', 'Excitement', 'Happiness']","[8, 8, 8]",Male,Kid
33,mscoco/images,COCO_train2014_000000423647.jpg,"[640, 427]","[323, 93, 601, 349]","['Confidence', 'Excitement']","[5, 7, 7]",Male,Adult
34,mscoco/images,COCO_train2014_000000411109.jpg,"[640, 456]","[223, 119, 341, 389]","['Anticipation', 'Engagement', 'Esteem']","[6, 5, 7]",Male,Adult
35,mscoco/images,COCO_train2014_000000411109.jpg,"[640, 456]","[403, 175, 537, 449]",['Anticipation'],"[5, 7, 8]",Male,Adult
36,mscoco/images,COCO_val2014_000000461715.jpg,"[640, 480]","[90, 27, 300, 355]","['Engagement', 'Peace']","[7, 4, 7]",Female,Adult
37,mscoco/images,COCO_train2014_000000055276.jpg,"[640, 480]","[299, 58, 517, 469]",['Engagement'],"[7, 6, 7]",Male,Adult
38,mscoco/images,COCO_train2014_000000055276.jpg,"[640, 480]","[79, 77, 398, 471]",['Happiness'],"[7, 4, 2]",Male,Adult
39,mscoco/images,COCO_val2014_000000568202.jpg,"[612, 612]","[108, 124, 286, 328]","['Engagement', 'Happiness']","[4, 4, 4]",Female,Adult
40,framesdb/images,frame_erwzk3npaleubsqm.jpg,"[450, 311]","[415, 144, 449, 267]",['Engagement'],"[7, 2, 9]",Male,Adult
41,framesdb/images,frame_erwzk3npaleubsqm.jpg,"[450, 311]","[323, 149, 355, 280]",['Annoyance'],"[6, 4, 7]",Male,Adult
42,framesdb/images,frame_erwzk3npaleubsqm.jpg,"[450, 311]","[187, 151, 218, 263]",['Engagement'],"[5, 6, 5]",Male,Adult
43,mscoco/images,COCO_train2014_000000088609.jpg,"[640, 480]","[308, 28, 574, 441]",['Happiness'],"[7, 3, 7]",Male,Kid
44,mscoco/images,COCO_val2014_000000054277.jpg,"[640, 480]","[375, 176, 511, 427]","['Anticipation', 'Engagement', 'Excitement']","[6, 9, 9]",Male,Adult
45,mscoco/images,COCO_train2014_000000549216.jpg,"[640, 480]","[243, 79, 529, 438]",['Engagement'],"[6, 4, 7]",Male,Adult
46,mscoco/images,COCO_train2014_000000551481.jpg,"[640, 640]","[302, 73, 508, 619]","['Engagement', 'Excitement']","[6, 4, 7]",Male,Kid
47,mscoco/images,COCO_train2014_000000528657.jpg,"[427, 640]","[191, 84, 342, 293]",['Engagement'],"[4, 6, 9]",Male,Adult
48,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,"[5477, 3651]","[76, 760, 1484, 3396]","['Anticipation', 'Engagement', 'Happiness']","[5, 7, 8]",Female,Adult
49,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,"[5477, 3651]","[3229, 700, 4586, 2503]","['Anticipation', 'Engagement', 'Happiness']","[7, 4, 6]",Male,Adult
50,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,"[5477, 3651]","[4051, 981, 5476, 3579]",['Engagement'],"[7, 6, 7]",Male,Adult
51,mscoco/images,COCO_train2014_000000552054.jpg,"[640, 460]","[453, 21, 588, 262]",['Engagement'],"[6, 6, 7]",Male,Adult
52,mscoco/images,COCO_train2014_000000379034.jpg,"[640, 426]","[384, 114, 547, 341]","['Anticipation', 'Engagement', 'Esteem']","[5, 4, 7]",Male,Adult
